DN,geometry,mndwi,ndvi2,b5b4,b6b4,b7b4,b8ab4,b8b4,evi,nrvi,ndwi,gndvi,ndvi,b3b2,b3b4,oc2,b3b1,oc4,Fecha
50,"POLYGON ((-72.14632662759655 -39.2502498661213, -72.06339416056665 -39.2502498661213, -72.06339416056665 -39.29171609963626, -72.14632662759655 -39.29171609963626, -72.14632662759655 -39.2502498661213))",0.64095634,0.24012811,1.0704061,1.1458204,1.3014208,1.1716505,1.1249268,-0.0124672505496804,-0.04722476,0.476937,-0.476937,0.04722476,0.8844108,3.1982193,1.5244108644789094,0.80837685,1.2624005803781702,2019-01-26
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.49919733,0.34336117,0.640616,0.8135042,0.9877781,0.93836296,1.0414139,0.0017866631427582,-0.079988375,0.29751715,-0.29751715,0.079988375,0.8109938,2.6752617,4444584.292389642,0.9699244,3.703418083848611,2020-03-14
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.24638435,0.11598576,0.6801597,0.80462205,0.88551223,0.86999065,0.90152335,0.0317120306502974,-0.02880646,0.15520594,-0.15520594,0.02880646,0.6085006,1.5566434,1.495627280963042,0.60372823,1.739189208350174,2020-12-09
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.20878363260635, -72.14632662759655 -39.29171609963626, -71.98046169353672 -39.29171609963626, -71.98046169353672 -39.2502498661213, -72.02192792705168 -39.2502498661213, -72.02192792705168 -39.20878363260635, -72.14632662759655 -39.20878363260635))",0.17017236,0.0033515482,0.18322946,0.2724903,0.38684687,0.45808133,0.5876064,0.0245371998016926,0.0034758707,0.15525696,-0.15525696,-0.0034758707,0.42268825,2.9941826,229643860.71942496,0.9987393,4.297927712482022,2021-03-29
5,"POLYGON ((-72.14632662759655 -39.20878363260635, -72.02192792705168 -39.20878363260635, -72.02192792705168 -39.2502498661213, -71.98046169353672 -39.2502498661213, -71.98046169353672 -39.29171609963626, -72.06339416056665 -39.29171609963626, -72.06339416056665 -39.2502498661213, -72.14632662759655 -39.2502498661213, -72.14632662759655 -39.20878363260635))",0.448727,0.09627464,0.32910424,0.37993985,0.7097592,0.85042244,1.4573722,0.0063526355494206,-0.046569567,0.40308303,-0.40308303,0.046569567,0.73345125,11.116432,149433333.81267083,1.3384914,4.795050338764337,2021-03-29
4,"POLYGON ((-72.14632662759655 -39.2502498661213, -72.06339416056665 -39.2502498661213, -72.06339416056665 -39.29171609963626, -72.14632662759655 -39.29171609963626, -72.14632662759655 -39.2502498661213))",0.8652192,0.29280952,0.5224998,0.5534815,1.1959565,1.2996166,2.137565,-0.0048040375541707,-0.075528406,0.7668536,-0.7668536,0.075528406,1.0277528,18.58446,2.2496015795144064,1.6073995,2.4687556751989184,2021-03-29
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.37386134,0.11589272,0.72418547,0.75213444,0.8483016,0.8164125,0.76720864,0.0374949271625899,0.009794246,0.2885204,-0.2885204,-0.009794246,0.73301685,1.7834562,7862215.0906199645,0.8907471,2.6834324016611117,2019-03-27
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.5227172,0.15196918,0.72787046,1.3009293,1.9966884,1.0489707,2.0210233,0.0292201283987529,-0.11060182,0.4559834,-0.4559834,0.11060182,0.4705223,14.558982,0.8017219014640878,0.6058543,1.0313372318654526,2020-12-31
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.2465283,0.10215255,0.6484348,0.8076138,0.89874375,0.8503429,0.9168744,0.0303856520496873,-0.030547956,0.16308962,-0.16308962,0.030547956,0.5741986,1.5700902,4.557631536129505,0.736964,1.5297543375462102,2019-01-04
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139))",0.33208293,0.17934613,0.6658297,0.73903334,0.8107269,0.78161556,0.8266964,0.048342375224978,-0.0034307956,0.20624852,-0.20624852,0.0034307956,0.745443,1.4314115,66104.07780097227,0.7667242,2.76666434156103,2021-01-08
